,texts,labels
1779,yup it at paragon i have not decided whether 2 cut yet hee,0
1780,can i take off your clothes,1
1781,then cannot get da laptop my matric card wif ì lei,0
1782,mum not going robinson already,0
1783,my dick is hard,1
1784,on that logic there is no reason euthanasia should be illegal,0
1785,you want to hear mine to huh,1
1786,a famous quote when you develop the ability to listen to anything unconditionally without losing your temper or self confidence it mean you are married,0
1787,the difference is one is legally penalized the other is socially penalized society can reject anything it damn well plea,0
1788,i am affecionate and i loved to be loved and make love ok,1
1789,and then stroke your face with my hand,1
1790,laugh my youhoo closed up,1
1791,you do not like my pic,1
1792,you know how to suck a dick,1
1793,well i do not want you to do anything you do not want to laugh,1
1794,would you want to meet at lockridge,1
1795,you cannot call me because of my mom,1
1796,oh gosh no shot tequila bad for margo i did forget draft house a we called them in fla in the 80 are making a big comeback yup that is the way to do it me no kid do not drive,0
1797,this is not true more people are voting now than ever before particuly young audience,0
1798,so you can send me pic now,1
1799,how so went in the wrong person i am screen,1
1800,k will do addie amp i are doing some art so i shall be here when you get home,0
1801,that be a problem if i we are,1
1802,sorry da i gone mad so many pending work what to do,0
1803,we will you take off some of your clothe is for me,1
1804,you must take into account it still the mainstream medium which is controlled by the u government,0
1805,he will you guy close,0
1806,i am done,0
1807,we could tyourn each othere on by underdressing on web cam for each other,1
1808,i am neaare columbus,1
1809,mmm that is better now i got a roast down me iåõd b better if i had a few drink down me 2 good indian,0
1810,oh i do not know something about sniper fire a kitchen sink strategy,0
1811,dear all a we know ltgt th is the ltgt th birthday of our loving gopalettan we are planning to give a small gift on that day those who like to participate in that you are welcome please contact our admin team for more detail,0
1812,yo do you know anyone ltgt or otherwise able to buy liquor our guy flaked and right now if we do not get a hold of somebody it just 4 loko all night,0
1813,megan fox is sooo hot she has been named the most beautiful woman alive by fhm megan hired a personal trainer that come to her three time a week an article at project weight loss say she has lazy and hate to workout,0
1814,godfather without a doubt marlon brando is just a legend,0
1815,did not you get hep b immunisation in nigeria,0
1816,finally it ha happened aftr decade beer is now cheaper than petrol the goverment expects u to drink but do not drive,0
1817,read the bookit wa awesome and the movie of course kicked serious as though i wish there we are some more prison scene like the book had,0
1818,good morning i am suffering from fever and dysentry will not be able to come to office today,0
1819,well just chatting to a friendwe might go have a drinkjust still will early you knowso chillin for a few,1
1820,i wish that i wa with you holding you tightly making you see how important you are how much you mean to me how much i need you in my life,0
1821,can you get naked,1
1822,i would volinteare myself but,1
1823,yetunde i am in class can you not run water on it to make it ok pls now,0
1824,k i shall drinkpa then what doing i need sr model pls send it to my mail id pa,0
1825,what time mom get off today,1
1826,i do not get cought for raping a minor,1
1827,lmao too bad the soloist will not have jessica beil,0
1828,i think you we will know by the big motorcycle that come in laugh,1
1829,tick tick tick where are you i could die of loneliness you know pout stomp foot i need you,0
1830,when you had sex,1
1831,lol no it not it surrounded by an upper class area,0
1832,hip is good very good sound like a good place,0
1833,that is because your old i live to be high,0
1834,how you think you will feel with a dik going in you,1
1835,how many guy have you done it with,1
1836,hi hope u r both ok he said he would text and he has not have u seen him let me down gently please,0
1837,god i wish i wa with you,1
1838,i wa peekin,1
1839,rose for redred for bloodblood for heartheart for u but u for me send ti to all ur friend including me if u like me if u get back 1u r poor in relation 2u need some 1 to support 3u r frnd 2 many 4some1 luvs u 5 some1 is praying god to marry u try it,0
1840,like what kind of accent you think i have baby,1
1841,how long have you lived here,1
1842,tell me sat,1
1843,let fuck on turkey day,1
1844,yes but i do not care i need you bad princess,0
1845,well i am actually in va riht now but my parent live in emmaus,1
1846,cannot think of anyone with spare room off top of my head,0
1847,i am good to just waiting to see when are you going to give a chance,1
1848,not thought bout it drink in tap spile at seven is that pub on gas st off broad st by canal ok,0
1849,rat hey did u ever vote for the next theme,0
1850,and is there a way you can send shade stuff to her and she ha been wonderful too,0
1851,she ha a youngeare sister,1
1852,you do not care,1
1853,i dreamed about you all night,1
1854,i am very careful,1
1855,how izzit still raining,0
1856,alright i shall head out in a few minute text me where to meet you,0
1857,boy that is crazy maybe they we are practicing the other night see my june 20 topic,0
1858,how has thing just a quick question,0
1859,dear i am not denying your word please,0
1860,i want to sent ltgt mesages today that is y sorry if i hurt,0
1861,yup,0
1862,you comeing back,1
1863,yeah right i shall bring my tape measure fri,0
1864,hi mike i am sorry i keep missin you laugh,1
1865,and thought about what we could have been doing,1
1866,i like last stop for paul wwwlaststopforpaulcom and anchorman,0
1867,to confirm that you want me to come by,1
1868,and your luver,1
1869,depends on the mood you knowi usually do when i have my people tyourn over,1
1870,fight clubbuildings exploding to lose my mind loved it momentoleft my jaw on the floor usual suspectssame side effect jaw still located on floor,0
1871,draw vai do not think so,0
1872,my mom forward it to here cell wen she is gon,1
1874,i shall probably be by tomorrow or even later tonight if something has going on,0
1875,think you could have gone much longer,1
1876,what kind of swim suit we will you have,1
1877,guy can only ask,1
1878,you got it rythanks man,1
1879,do you want sex still,1
1880,jay say he shall put in ltgt,0
1881,you have any pic,1
1882,neshanthtel me who r u,0
1883,den wat will e schedule b lk on sun,0
1884,came to look at the flat seems ok in his 50 is away alot wiv work got woman coming at 630 too,0
1885,this wa a conversation we had about a month ago and i have not talked to her since the result we are official but i would image her opinion is still the same we we are in a mall and this guy stopped u i wa her and a white guy that had an obama shirt on and he asked u what basically the same question you did and that is how you answered i did not want to debate her in the mall so i did not say anything but i think there obviously is a cultural significance but i do not know if it a jackie robinson type of accomplishment his accomplishment wa ending the ban on black player obama is not breaking down a legal barrier but it is a social barrier idk i am more looking forward to the change he shall bring than his color though,0
1886,ball is moving a lotwill spin in last so very difficult to bat,0
1887,i cannot do that with you now,1
1888,hurt not on body on others,1
1889,can you let me know detail of fri when u find out co i am not in tom or fri mentionned chinese thanks,0
1890,forgot to tell ì smth can ì like number the section so that it clearer,0
1891,so your pic is on this profile honey,1
1892,what has happening with you have you gotten a job and have you begun registration for permanent residency,0
1893,moji just informed me that you saved our life thanks,0
1894,that is fine with me baby,1
1895,if you want to,1
1896,wow now i really want you,1
1897,can i take off your panty,1
1898,if i get cought it we will be rape,1
1899,then we are even,1
1900,did you say bold then torch later or one torch and 2bold,0
1901,lol oops sorry have fun,0
1902,why not we are just talking on the comp there no reason to be shy,1
1903,i am not a player,1
1904,you ever masterbated and thought about me,1
1905,supposed to swallow it,1
1906,it ok chikku and it my 1 of favourite song,0
1907,em it olowoyey uscedu have a great time in argentina not sad about secretary everything is a blessing,0
1908,this is a rather fun one that i always wanted to do even though most winner at science fair are biology project this one is still way cool and is a physic one you measure the speed of light here is what you need a microwave without the automatic turn table some chocolate or cheese an accurate ruler measurement in milimeters a plate what you do is break up the cheese or chacolate and spread it up along the plate put it in the microwave and turn it on observe it and wait for small part of it to melt this phenomina happens because the microwave which are inside your microwave oven form a standing wave this is why you have to stir food in it to cook it or have a turn table or have you ever noticed how one bit will be real hot and then the bite right next to it will be ice cold the goal is to let it form a few hot spot that melt the cheese in those place then you want to take a ruler and measure the distance between each of the hotspot you now know the wavelength of microwave it will be best to convert this length into meter it will be like 005 meter or something like that though now to figure out the speed of light c speed of light electromagnetic radiation l wavelength of the light f frequency of the light the equation is a follows c lf you measured l now to get f look on the back of the microwave and look for the frequency of the wave it will probably be in mhz or something like that i do not remember the frequency of microwave off the top of my head mulitply l time f and you have just figured out the speed of light,0
1909,omg joanna is freaking me out she has looked thru all my friend to find photo of me and then she has asking about stuff on my myspace which i have not even logged on in like a year,0
1910,ok a in you want to meet me,1
1911,a lot of this sickness thing going round take it easy hope u feel better soon lol,0
1912,nah dub but je still buff,0
1913,the neighbers would wonder what i am doin,1
1914,and i shall feel it again before you get off work rimshot,0
1915,it sitting next to me but i have not had time to watch it yet,0
1916,i have a myspace,1
1917,nah it straight if you can just bring bud or drink or something that is actually a little more useful than straight cash,0
1918,sweet yellow fresh ripe mango all the way but if not ripe green mango with fermented shrimp paste yummmeh,0
1919,kkcongratulation,0
1920,tell that to the united nation a huge majority of the relief and peacekeeping mission we are on worldwide are the result of un mandate do some research instead of spewing ron paul blog,0
1921,big as or small,1
1922,come onhave sex with me please,1
1923,we used to live in kirkwood,1
1924,yup i thk they r e teacher said that will make my face look longer darren ask me not 2 cut too short,0
1925,i saw them,1
1926,also tell him i said happy birthday,0
1927,they r giving a second chance to rahul dengra,0
1928,of course not,0
1929,if i do not what,1
1930,this may sound terrible but with the success of the 40year old virgin knocked up and superbad i would love to see a freak geek movie pick up with the weir family reunion the cast would be amazing directed and produced by paul feig and judd apatow original creator seth rogan linda cardellini james franco jason segel john france daley martin starr joe flaherty samm levine busy philipps since it only go one season we could find out what happened to lindsey after she get on the bus see what the freak have done with their life etc i would love to see that happen,0
1931,somewhere out there beneath the pale moon light someone think in of u some where out there where dream come true goodnite amp sweet dream,0
1932,if i remember correctly you have given a guy head right,1
1933,oops am at my mum in somerset bit far back tomo see you soon x,0
1934,ok ok just do property management stuff i am thinking he mean landscaping here since he outside so much,1
1935,s now only i took tablet reaction morning only,0
1936,a cute and nice and freaky gf,1
1937,because i want to meet you that is why,1
1938,honey boo i am missing u,0
1939,thomas jane a the punisher i cannot wait to see the next one but bale wa awesome a well a bruce waynebatman i cannot wait to see him add some more layer in the next film,0
1940,yes there should be warning about that,0
1941,do you want to see me jerk off,1
1942,are we gon na go to your room,1
1943,so how come you want to meet me so bad,1
1944,eat at old airport road but now 630 oredi got a lot of pple,0
1945,pansy you have been living in a jungle for two year it my driving you should be more worried about,0
1946,if you we are,1
1947,hehehe your right,1
1948,i am sure baby,1
1949,if i invited you over would they let you go,1
1950,it just i could go to jail if we did anything and someone found out,1
1951,fuck babe i miss you already you know cannot you let me send you some money towards your net i need you i want you i crave you,0
1952,i am tired of arguing with you about this week after week do what you want and from now on i shall do the same,0
1953,wa u so efficient gee thanx,0
1954,just to people hangin out watching a movie,1
1955,you will not baby do you want to fuck all weekend though,1
1956,see you soon,1
1957,she had ki will me,1
1958,so are you ready,1
1959,and a lesson in coding,0
1960,your really cute,1
1961,do you miss me,1
1962,ok where you want it,1
1963,i would not want anyone seeing my naked as laugh,1
1964,god love ha no limit god grace ha no measure god power ha no boundary may u have god endless blessing always in ur life gud ni8,0
1965,just to see you not to show anything only if you wanted to,1
1966,yep then is fine 730 or 830 for ice age,0
1967,but you do not seem to care so i do not think it would be worth it,1
1968,or you can call me,1
1969,well sweetie id love to chat but i got to work for now,1
1970,you have a dildo,1
1971,wats that like,1
1972,hey do not forget you are mine for me my possession my property mmm childish smile,0
1973,that i am coming over,1
1974,fyi i am gon na call you sporadically starting at like ltgt bc we are not not doin this shit,0
1975,i could get in real trouble,1
1976,i shall refer you to my explanation taxation ha been a bit murky in the uk with whitehall for decade fleecing scotland whilst perpetrating the myth that scotland scrounges off the rich south,0
1977,have you let a guy lick your pussy,1
1978,i will not bore you,1
1979,in other news after hassling me to get him weed for a week andres ha no money haughaighgtujhyguj,0
1980,that wa my suggesion too if everyone would grow some nut and vote for who they like best a opposed to the lesser of 2 evil thing might change people are afraid to waste their vote which keep the democratsrepublicans in power i am going to a vote for either major party at this point is a wasted vote at least in the presidential race of course there is not much for 3rd chouces either but at least it sends a message,0
1981,chat and maybe sex,1
1982,what we will you wear when i walk when,1
1983,roger that weû÷re probably going to rem in about 20,0
1984,hello beautiful r u ok i have kinda ad a row wiv and he walked out the pub i wanted a night wiv u miss u,0
1985,your really cute but your 13,1
1986,i donno if they are scorable,0
1987,yes i think so,1
1988,do you want to lose your virginity,1
1989,dhoni have luck to win some big titleso we will win,0
1990,memento,0
1991,i am ok wif it co i like 2 try new thing but i scared u dun like mah co u said not too loud,0
1992,co i wa out shopping wif darren jus now n i called him 2 ask wat present he wan lor then he started guessing who i wa wif n he finally guessed darren lor,0
1993,by meeting u,1
1994,what happen dear why you silent i am tensed,0
1995,i left august of to000,1
1996,i keep you warm,1
1997,you like to do photo share,1
1998,would you get naked and show me,1
1999,when i see u,1
2000,ok mike i am gon na go ahead and go to the mall and i hope you will be there,1
2001,crap tomorrow what time i have a 708 tee time,0
2002,hahaha it not very exclusive when detail are released on the internet where i found them google search of crank 2,0
2003,i am in inperialmusic listening2the weirdest track ever byåóleafcutter johnåósounds like insect being molestedsomeone plumbingremixed by evil men on acid,0
2004,how old wa the guy she got pregnant by,1
2005,because of your age,1
2006,hey sweet i wa wondering when you had a moment if you might come to me i want to send a file to someone but it will not go over yahoo for them because their connection suck remember when you set up that page for me to go to and download the format disc could you tell me how to do that or do you know some other way to download big file because they can download stuff directly from the internet any help would be great my prey teasing kiss,0
2007,you can play wid my joystick,1
2008,my friend just got here and say he upping his order by a few gram he got ltgt when can you get here,0
2009,you ever seen a guy naked,1
2010,yes if you want me to,1
2011,abeg make profit but it a start are you using it to get sponsor for the next event,0
2012,almost did a few time,1
2013,y so late but i need to go n get da laptop,0
2014,and picking them up from various point,0
2015,what else you got planned,1
2016,aiyah sorry lor i watch tv watch until i forgot 2 check my phone,0
2017,pulp fiction,0
2018,so i guess i will not no if your 80 until i see you,1
2019,they didt play one day last year know even though they have very good team like india,0
2020,and you do not have to worry about that,1
2021,lolz at smart people won,0
2022,not someone like you,1
2023,i came hostel i m going to sleep plz call me up before class hrishi,0
2024,lol have you made plan for new year,0
2025,i will fingeare em tomorrow,1
2026,gosh that what a pain spose i better come then,0
2027,if you wanted to,1
2028,huh y lei,0
2029,i shall get there tomorrow and send it to you,0
2030,what do you wear to bed,1
2031,bloody he shall cannot believe you forgot my surname mr i shall give u a clue it spanish and begin with m,0
2032,the devil ride out or whitchfinder general,0
2033,maybe everything is just evening out then a few week ago i paid 479 a gallon at the gas station by my house and yesterday i paid 453 a gallon at the same place and i noticed at some place downtown it wa even ten cent cheaper,0
2034,ard 530 like dat lor we juz meet in mrt station then ì dun haf to come out,0
2035,come on look at you,1
2036,do you have a kid or somthing,1
2037,i wan but too early lei me outside now wun b home so early neva mind then,0
2038,then i we will bend down to lick your pussy,1
2039,what doe it depend on,1
2040,ey calm downon theacusations itxt u co iwana know wotu r doin at thewend haventcn u in agesring me if ur up4 nething satlove j xxx,0
2041,why did you move here from st louis,1
2042,my cock is not big,1
2043,i just wanted to see your picdo you really want to see mine,1
2044,that suck so what do you got planned for your yo valentine i am your yo valentine are not i,0
2045,well if i find a bitchy girl i do not even bothere to keep talking,1
2046,i have sent my wife your text after we buy them she shall tell you what to do so just relax we should go get them this wkend,0
2047,yeah i saw it it is indeed a great movie korean best one remains old boy although,0
2048,k i shall work something out,0
2049,i keep getting a i am that mess up my pc,1
2050,ok that might be good,1
2051,i got booted,1
2052,are you horny,1
2053,if he assassinated i am disowning america,0
2054,then why no one talking to me,0
2055,do you like my pic,1
2056,i would love to walk along the beach with you hand in hand,1
2058,anything lor u decide,0
2059,hope it sexy,1
2060,errrrok,0
2061,ok be careful do not text and drive,0
2062,like i say like what time,1
2063,i cannot i told u,1
2064,mangosetene,0
2065,if your pussy hurt alittle when i put it in is that ok,1
2066,yes it completely in out of formclark also utter waste,0
2067,yes i like it better for some reason,0
2068,the wild bunch is pretty cool kid watching a scorpion sting itself to death followed by an incredibly violent robberyshootout in which half the townsfolk and half the robber get shot by the end of the first scene half the cast have already died,0
2069,ya but it cannot display internal sub so i got ta extract them,0
2070,oh right ok i shall make sure that i do load of work during the day got a really nasty cough today and is dry n shot so that should really help it,0
2071,alright i will not quote you anymore it does not seem like you have anything better to say other than insult anyway,0
2072,do not you want to be,1
2073,how tall are you,1
2074,but you got to promis never ever never to tell nobody,1
2075,but it kinda hurt a little,1
2076,love to meet you at the park sometimes any park,1
2077,i loved it very scary and nicholson wa brilliant in it,0
2078,httpforumsmyspacecomt3892030aspxfuseactionforumsviewt hread try copy and paste,0
2079,she ran off with a younger man we will make pretty baby together,0
2080,i wish i cud at least call u,1
2081,no not yete,1
2082,sbut he had some luck2 catch put down,0
2083,what make you most happy,0
2084,if you show them to me duh,1
2085,i love you and miss you i hope to see you next week baby monday or tuesday ok love you baby,1
2086,i would love to be there for her hold her kiss her please her,1
2087,yeah i think so,1
2088,ìï mean it confirmed i tot they juz say oni ok then,0
2089,so is th gower mate which is where i am how r u man all is good in wale i shall b back åômorrow c u this wk who wa the msg 4 åð random,0
2090,talkin to u,1
2091,oi when you gon na ring,0
2092,are you still will scared about sex with me,1
2093,what are you gon na do then,1
2094,wa playng 9 door game and gt racing on phone lol,0
2095,wow goregous pic,1
2096,laugh noone doe that,1
2097,you are a much a conspiracy theorist a anybody else,0
2098,yeah there barely enough room for the two of u x ha too many fucking shoe sorry man see you later,0
2099,no but on cam,1
2100,a bloo bloo bloo i shall miss the first bowl,0
2101,haha they cannot what at the most tmr forfeit haha so how,0
2102,where do you want me to cum,1
2103,do you still have the grinder,0
2104,i am at home please call,0
2105,amen let bring in an era where people think with their mind and not with their bleeding heart let strive for a time of tolerance and acceptance i am so happy i am almost cry god bless america wow,0
2106,fair enough anything going on,0
2107,i have been searching for the right word to thank you for this breather i promise i will not take your help for granted and will fulfil my promise you have been wonderful and a blessing at all time,0
2108,you we will see honey laugh,1
2109,can you dish from school one day baby,1
2110,it woudl be kewl if we liked each othere if you can stay longeare to,1
2111,what you doing,1
2112,alright yo dat straight dogg,0
2113,what do you mean,1
2114,your parent strict huh,1
2115,but if you are by your self it ok,1
2116,i shall text carlos and let you know hang on,0
2117,i wish i cud call u,1
2118,when should i come over,0
2119,oh no bet you taste so good,1
2120,may i call you later pls,0
2121,go where n buy juz buy when we get there lar,0
2122,i we will always talk to you,1
2123,i hope to hear your voice later,1
2124,jimmy hoffa,0
2125,want to have some fun,1
2126,how far do you put it in your mouth,1
2127,do not do that my mom we will see u,1
2128,not really but it not far,1
2129,i am realy soz imat my mum 2nite what about 2moro,0
2130,da is good good playerwhy he is unsold,0
2131,oops hold that thought a minute sorry,0
2132,i will probably be wearing gray pant,1
2133,i want a yes or no answer do you want to sleep naked with me,1
2134,how old are the guy,1
2135,maybe they drank too much coca cola,0
2136,i am back bit long co of accident on a30 had to divert via wadebridgei had a brilliant weekend thanks speak soon lot of love,0
2137,you sure you do not want to try anal sex right,1
2138,dad say hurry the he shall up,0
2139,she is got my digital camera at here job,1
2140,source,0
2141,a good question to obama supporter and especially the black voter would you support hillary clinton if she wa chosen to be the nominee by the superdelegates,0
2142,wow i like you,1
2143,so we are not gon na hang out tonight,1
2144,do not do it too much,1
2145,sorry my tluv,1
2146,i would of,1
2147,they shall fuck u,1
2148,do i get to take some naked pic of you for just me,1
2149,having lunchyou are not in onlinewhy,0
2150,great to hear you are settling well so what has happenin wit ola,0
2151,let me take some of you,1
2152,yeah but not just with anyone,1
2153,a hook up,1
2154,make you feel great,1
2155,remember about that tyourn in edited that tyourns into my street,1
2156,why do not we make oyour cum the lemonade and you my cake,1
2157,so by exactly you mean spit then awesome,0
2158,juss do not like bein called a ho,1
2159,whatever you want,1
2160,just got in from washing the car,1
2161,hey i got to log off for a bit,1
2162,good afternon my love how are today i hope your good and maybe have some interview i wake and miss you babe a passionate kiss from across the sea,0
2163,you i have a few pic,1
2164,mm feeling sleepy today itself i shall get that dear,0
2165,have to hold on to me tight,1
2166,you are from russia i think i want to move there one day why live in a country that is changing from freedom to fascism why not live in a country where you know your place,0
2167,lol yea i guess i am just used to type in english,0
2168,you said to me before i went back to bed that you cannot sleep for anything,0
2169,meet where do what,1
2170,well henry ford powered his first model t with hemp seed oil maybe our fucked up govt could change the law about growing hemp,0
2171,yeah well i wa also in town the beginning of this week too,1
2172,i we will give you my number when you give me your address,1
2173,hun a drug addict does not have child for profit they end up pregnant because their ability to make good decision is no longer functioning,0
2174,can i take off my clothe is for u,1
2175,httpwwwboxofficepsychicscom20080508entertainmentweekly coveroliverstonesmovieaboutgeorgewbush httphollywoodinsiderewcom200803georgewbushshtml josh brolin what a trip oh and thandie newton is playing condaleeza,0
2176,do you like that,1
2177,up from the parking lot,1
2178,just wondering where your pic came from,1
2179,ãâ the problem in this case would be that of american placing their ass across our border we need to shut our border with the usa and the rest of the world,0
2180,lean you up against a tree and kiss you for a long time,1
2181,or remove them instead,1
2182,yeah 818 to61 3035 i am eric,1
2183,that is when you bend over like a dog and i go behind,1
2184,you my look,1
2185,you know what oral sex is,1
2186,the affidavit say ltgt e twiggs st division g courtroom ltgt lttimegt am i shall double check and text you again tomorrow,0
2187,i am very happy for you babe woo hoo party on dude,0
2188,wats my dear doing sleeping ah,0
2189,what,0
2190,yawn,0
2191,when did dad get back,0
2192,gud gudk chikku tke care sleep well gud nyt,0
2193,yeah i think i can find a blanket to bring with me,1
2194,no this is differnet,1
2195,i will come tomorrow di,0
2196,personally i think everything is based on personal merit i have come up against several men of power in my life who are inherently sexist but i have never failed to get what i wanted because i never let them regard me in a lower way i think if you have enough respect for yourself and a general air of confidence you can get most thing done this is probably because i grew up training horse with guy though you can whine bitch and moan i think woman are definitely at a disadvantage because there is a high percentage who rely on being cute to get their way which can work to an extent but not in a way which will earn you any kind of respect in the future more likely a pat on the head and a send her on her way,0
2197,dressed to kill or any depalma,0
2198,cold do not be sad dear,0
2199,eh den sat u book e kb liao huh,0
2200,i hear you,1
2201,so you never cum before,1
2202,so you dot have a digital cam or a webcam or a cell with a cam on it,1
2203,you have any sexy pic,1
2204,you will,1
2205,wa doing my test earlier i appreciate you will call you tomorrow,0
2206,aww you must be nearly deadwell jez iscoming over todo some workand that whilltake forever,0
2207,do you know the address,1
2208,sorry battery died yeah i am here,0
2209,a girl did,1
2210,i live in florida and i have never even heard of it that most likely is a bad sign,0
2211,no just a pic,1
2212,in the year that i wa allowed to go there i partied more then i did in high school kinda hard to do but somehow it wa achieved school want too bad either,0
2213,check the adress line there is a break in the adress,0
2214,sound better than my evening i am just doing my costume i am not sure what time i finish tomorrow but i will txt you at the end,0
2215,you should know now so how has anthony are you bringing money i have school fee to pay and rent and stuff like that that is why i need your help a friend in need,0
2216,when are you going to give me direction on how to get there,1
2217,have you had a bf before,1
2218,mine here like all fr china then so noisy,0
2219,yea i think i am going to bed soon,1
2220,dream come true,1
2221,might give you something to dream about sleep tight,1
2222,did you leave rt after school,1
2223,so that take away some money worry,0
2224,sorry about that this is my mate phone and i did not write it love kate,0
2225,cool so what has your secret place,1
2226,would you want to do me,1
2227,and hope we finish before your mom get home,1
2228,are you married,1
2229,when is your mom not there,1
2230,we live in the next ltgt min,0
2231,ok and i we will look it up too,1
2232,i am taking derek amp taylor to walmart if i am not back by the time you are done just leave the mouse on my desk and i shall text you when priscillas ready,0
2233,or i wa younger,1
2234,how warm is it there,1
2235,they should do a csimaimipink panther crossover,0
2236,i wish you we are here,1
2237,that is cool he shall be here all night lem me know when you are around,0
2238,you a little horny,1
2239,you get my i am,1
2240,can i please come up now imin towndontmatter if urgoin outl8r,0
2241,would you to mine,1
2242,i see i stand corrected now that little mystery is solved let get onto the second why wa such a term used in this thread in response to my post,0
2243,ha any one ever showed you cam,1
2244,would you let me suck on them,1
2245,but you would do it,1
2246,by monday next week give me the full gist,0
2247,huh so fast dat mean u have not finished painting,0
2248,yeah because having a person in office whose entire platform when he ran wa maintain the jim crow law is a great idea,0
2249,i need your address if you like,1
2250,so i can go get oyour mike,1
2251,we will you be on later if i get done soon,1
2252,obama is qualified so is palin the difference one ha been treated like shit by the medium and the other has not,0
2253,hope thing went well at doctor reminds me i still need 2godid u c d little thing i left in the lounge,0
2254,how many bf have you had so far,1
2255,i we will dream about you tonight,1
2256,i do not know where it would feel good,1
2257,you will be holding on for dear life laugh,1
2258,hiya comin 2 bristol 1 st week in april le got off rudi on new yr eve but i wa snoringthey we are drunk u bak at college yet my work sends ink 2 bath,0
2259,he an adult and would learn from the experience there no real danger i just do not like peep using drug they do not need but no comment,0
2260,no y would i do that,1
2261,so if we like each othere you want to hang out sat too yeah i we will be free but i think you we will be busy,1
2262,i want you too,1
2263,you are delusional,0
2264,if you love me and hold me i we will love you forever and never hurt you ever i like to make people happy and smile,1
2265,i love you and kiss you,1
2266,i want another beavis and butthead movie i would have thought mike judge would have made one by now,0
2267,all the grand theft auto and some atv game,1
2268,you can show me all of them if you want,1
2269,yup next stop,0
2270,is it ok if i stay the night here xavier ha a sleeping bag and i am getting tired,0
2271,why are you scared,1
2272,i do not know what do you want to feel good,1
2273,no it a honda accord,0
2274,are you parent strict,1
2275,there no point hangin on to mr not right if he not makin u happy,0
2276,it fine imma get a drink or somethin want me to come find you,0
2277,ok ur typical reply,0
2278,is your pussy hairy,1
2279,lol no just trying to make your day a little more interesting,0
2280,good girl laugh,1
2281,holy living christ what is taking you so long,0
2282,you still at the game,0
2283,think you would like that,1
2284,what size wa his cock,1
2285,do you want to see mine if not it ok,1
2286,you gettin wet,1
2287,have not left yet so probably gon na be here til dinner,0
2288,we could be very alonethat statement very gave me a shudder,1
2289,makeout and fuckwhat else hehe,1
2290,did you hit puberty yet,1
2291,yup song bro no creative neva test quality he said check review online,0
2292,happy birthday may u find ur prince charming soon n dun work too hard,0
2293,i believe it is because the second movie is playing solely off of the first movie which had mulder and everyone want mulder anyway because he smexy xd,0
2294,do you have a boyfriend i can honestly say no,1
2295,that made it sexieare laugh,1
2296,you are not going to get in trouble,1
2297,i accidentally deleted the message resend please,0
2298,once you do it you want to do it every day,1
2299,the whole kimbo character wa fiction to begin with he been handled with the utmost of care since he made the switch to mma and became elitexcs cash cow that appeal to the white suburban gangster demographic he wa scheduled to fight the corpse of a light heavyweight that has not won a fight in close to 10 year he instead got knocked out by a man that weighed 30 lb le standing on one foot mmatv ha a gif of shaw screaming that kimbo wa being hit in the back of the head when slice wa already staring up at the light truly it ha made my day httpwebpagescharternetglineskalakimbosethjuggogif,0
2300,i am alright wats happening on your side,0
2301,nobody can decide where to eat and dad want chinese,0
2302,hello ucall wen u finish wrki fancy meetin up wiv u all tonite a i need a break from dabooks did 4 hr last nite2 today of wrk,0
2303,hi i am sorry i missed u,1
2304,haha that movie is so funny,0
2305,if you think you can handle it,1
2306,if i let you do this i want you in the house by 8am,0
2307,what are you saying,1
2308,today am going to college so am not able to atten the class,0
2309,hmmm mayb can try e shoppin area one but forgot e name of hotel,0
2310,just do not want to push you,1
2311,taking you out,1
2312,i love that,1
2313,grapefruit or grape,0
2314,so how do you feel about sex,1
2315,can i call you,1
2316,so how big is your chest,1
2317,wish you had a cam,1
2318,how about you get in and we find a place,1
2319,uhhhbatman,0
2320,what time u wrkin,0
2321,did u got that person story,0
2322,probably not i am almost out of gas and i get some cash tomorrow,0
2323,i will put honey lick em,1
2324,sir good morning hope you had a good weekend i called to let you know that i wa able to raise ltgt from my dad he however said he would make the rest available by mid feb this amount is still quite short and i wa hoping you would help do have a good day abiola,0
2325,do you play normally,1
2326,kindly send some one to our flat before ltdecimalgt today,0
2327,have you not finished work yet or something,0
2328,no nothis is kallis home groundamla home town is durban,0
2329,you shall get hit on by an older guy soon laugh,1
2330,hey that is supposed to be a riddle do not give it away anyhow you want some fun stuff there all kind of stuff you could make a tesla coil or vand de graff machine those are fun,0
2331,do you have more pic,1
2332,damn the world end in 2012jeez i thought i would live atleast to 70 well better pack my bag to mar then,0
2333,i am ready to be your man,1
2334,for me the love should start with attractioni should feel that i need her every time around meshe should be the first thing which come in my thoughtsi would start the day and end it with hershe should be there every time i dreamlove will be then when my every breath ha her namemy life should happen around hermy life will be named to heri would cry for herwill give all my happiness and take all her sorrowsi will be ready to fight with anyone for heri will be in love when i will be doing the craziest thing for herlove will be when i do not have to proove anyone that my girl is the most beautiful lady on the whole planeti will always be singing praise for herlove will be when i start up making chicken curry and end up makiing sambarlife will be the most beautiful thenwill get every morning and thank god for the day because she is with mei would like to say a lotwill tell later,0
2335,but doe she want to take that action,1
2336,to the wonderful okors have a great month we cherish you guy and wish you well each day mojibiola,0
2337,i love you mike,1
2338,i need your address so i can go c u,1
2339,your house doe it ha like plant or something,1
2340,it ha the best movie ending ever,0
2341,lol that would be awesome payback,0
2342,who is home with you now,1
